Le notti di Cabiria;8.0;1957
Trois couleurs: Rouge;8.0;1994
The Philadelphia Story;8.0;1940
A Christmas Story;8.0;1983
Sleuth;8.0;1972
King Kong;8.0;1933
Bom yeoreum gaeul gyeoul geurigo bom;8.0;2003
Rope;8.0;1948
Monsters, Inc.;8.0;2001
Tenku no shiro Rapyuta;8.0;1986
Yeopgijeogin geunyeo;8.0;2001
Mulholland Dr.;8.0;2001
The Man Who Shot Liberty Valance;8.0;1962
